NETWERK 1
NODES 15668
455 899 48
456 1367 48
457 1420 48
458 830 49
459 867 49
460 1397 49
461 1445 49
462 1464 49
463 1467 49
464 1486 49
465 1513 49
466 2166 49
467 2182 49
468 2845 49
469 232 50
470 806 50
471 1192 50
472 1251 50
473 1297 50
474 2790 50
475 2800 50
476 2809 50
477 2818 50
478 2828 50
479 -20 51
480 724 51
481 1150 51
482 1207 51
483 1448 51
484 1530 51
485 1562 51
486 1857 51
487 1858 51
488 2087 51
489 2276 51
490 2415 51
491 2752 51
492 2770 51
493 2771 51
494 277 52
495 716 52
496 1399 52
497 1461 52
498 1515 52
499 1530 52
500 1974 52
501 2011 52
502 2247 52
503 2473 52
504 1451 53
505 2473 53
506 107 54
507 204 54
508 1416 54
509 2417 54
510 2457 54
511 2715 54
512 2716 54
513 2733 54
514 2752 54
515 -20 55
516 1413 55
517 2186 55
518 2398 55
519 2677 55
520 2696 55
521 10 56
522 152 56
523 303 56
524 1933 56
525 2399 56
526 2435 56
527 2454 56
528 67 57
529 1251 57
530 1282 57
531 1368 57
532 1878 57
533 2051 57
534 2188 57
535 2332 57
536 2347 57
537 2372 57
538 176 58
539 2092 58
540 2161 58
541 2306 58
542 348 59
543 390 59
544 417 59
545 2100 59
546 42 60
547 2160 60
548 2214 60
549 2372 60
550 2470 60
551 100 61
552 221 61
553 1208 61
554 1827 61
555 2103 61
556 2134 61
557 709 62
558 1193 62
559 1798 62
560 1827 62
561 2033 62
562 266 63
563 1863 63
564 2031 63
565 2084 63
566 2106 63
567 2505 63
568 96 64
569 1913 64
570 1396 65
571 2465 65
572 216 66
573 1952 66
574 2404 66
575 142 67
576 1562 67
577 1591 67
578 2406 67
579 165 68
580 428 68
581 1251 68
582 2190 68
583 1186 69
584 1217 69
585 1515 69
586 1959 69
587 188 70
588 337 70
589 380 70
590 1150 70
591 1486 70
592 1562 70
593 2189 70
594 -4 71
595 53 71
596 210 71
597 1530 71
598 1827 71
599 1886 71
600 1975 71
601 2011 71
602 2019 71
603 2059 71
604 2083 71
605 2108 71
606 2161 71
607 2412 71
608 2415 71
609 2435 71
610 2453 71
611 1783 72
612 1893 72
613 2161 72
614 2232 72
615 2417 72
616 287 73
617 1742 73
618 1761 73
619 2021 73
620 2188 73
621 2214 73
622 28 74
623 256 74
624 1687 74
625 1705 74
626 1724 74
627 2134 74
628 2277 74
629 2306 74
630 2854 74
631 85 75
632 332 75
633 1629 75
634 1648 75
635 1668 75
636 1928 75
637 2051 75
638 2248 75
639 1607 76
640 2058 76
641 131 77
642 1282 77
643 1871 77
644 2059 77
645 911 78
646 1251 78
647 1841 78
648 2106 78
649 2166 78
650 2373 78
651 867 79
652 2023 79
653 2169 79
654 2181 79
655 2332 79
656 2347 79
657 2852 79
658 177 80
659 327 80
660 807 80
661 831 80
662 1368 80
663 1976 80
664 1996 80
665 2086 80
666 2103 80
667 2171 80
668 2307 80
669 2829 80
670 667 81
671 1217 81
672 1468 81
673 1487 81
674 2010 81
675 2023 81
676 200 82
677 709 82
678 725 82
679 1186 82
680 1430 82
681 1449 82
682 1827 82
683 2088 82
684 2810 82
685 276 83
686 372 83
687 1798 83
688 1908 83
689 2096 83
690 2772 83
691 2791 83
692 149 84
693 245 84
694 558 84
695 1869 84
696 2012 84
697 2734 84
698 2753 84
699 38 85
700 392 85
701 412 85
702 2016 85
703 2678 85
704 2696 85
705 2715 85
706 75 86
707 1391 86
708 1960 86
709 2656 86
710 1562 87
711 1591 87
712 1929 87
713 120 88
714 2031 88
715 2037 88
716 71 89
717 407 89
718 1530 89
719 1562 89
720 1487 90
721 1515 90
722 316 91
723 1217 91
724 1389 91
725 1888 91
726 2215 91
727 189 92
728 915 92
729 1187 92
730 1202 92
731 1402 92
732 1430 92
733 2864 92
734 361 93
735 400 93
736 873 93
737 887 93
738 897 93
739 2135 93
740 2638 93
741 2643 93
742 2837 93
743 265 94
744 810 94
745 848 94
746 1884 94
747 234 95
748 500 95
749 761 95
750 770 95
751 782 95
752 794 95
753 825 95
754 1853 95
755 64 96
756 161 96
757 310 96
758 381 96
759 712 96
760 725 96
761 737 96
762 749 96
763 1851 96
764 26 97
765 136 97
766 688 97
767 700 97
768 1251 97
769 2496 97
770 2506 97
771 2802 97
772 2815 97
773 641 98
774 2436 98
775 2458 98
776 2748 98
777 2766 98
778 2783 98
779 2802 98
